0,0,1,0,0,1,16,1,1,1,3,3,3,2,1,1,1,2,0,0,0,1,1,1,1,1,4,2,3,3,2,12
0,0,0,1,0,1,16,1,1,1,2,3,2,2,1,0,2,1,0,0,0,0,0,1,1,0,5,3,3,3,0,13
1,0,0,0,0,0,16,1,1,1,1,3,0,3,1,1,1,2,3,0,0,0,1,1,1,1,4,3,5,3,0,8
1,0,0,0,0,0,16,1,1,1,4,3,4,1,1,1,1,3,0,1,1,1,1,1,1,0,3,4,4,4,2,10
1,0,0,0,0,1,16,0,1,1,2,1,2,2,0,1,2,1,0,0,0,0,1,1,0,0,3,3,2,3,0,8
1,0,0,0,0,0,18,0,1,1,3,1,2,2,3,1,1,2,1,0,0,0,1,1,1,1,5,3,3,4,16,9
0,0,0,1,0,0,17,0,1,1,2,4,0,2,0,0,1,3,0,0,1,0,0,1,1,1,4,4,3,5,7,12
1,0,0,0,0,1,19,0,1,1,1,1,2,3,2,1,2,1,1,0,0,0,0,1,0,0,4,3,2,5,0,6
0,0,1,0,0,1,17,1,0,1,2,3,3,3,3,0,1,2,0,0,1,1,0,1,1,0,5,3,3,3,2,12
0,0,0,1,0,1,18,1,0,1,3,4,3,2,1,1,1,2,0,0,0,0,1,1,1,1,4,3,3,5,11,16
1,0,0,0,0,0,15,1,1,1,1,1,0,2,0,1,3,1,0,0,1,0,1,1,1,1,4,3,3,4,0,8
0,0,1,0,0,0,17,1,1,0,4,3,3,3,0,1,1,2,0,0,1,1,0,1,1,1,5,2,2,5,23,13
1,0,0,0,0,1,17,1,0,1,4,3,4,2,0,1,2,2,0,0,0,1,1,1,1,0,4,4,4,4,4,10
0,1,0,0,0,0,17,0,1,1,2,1,0,3,0,1,3,2,0,0,0,0,1,1,0,0,2,1,1,3,2,13
0,1,0,0,0,0,18,1,1,1,2,3,0,3,0,0,2,1,0,0,1,1,0,1,1,1,5,2,3,4,0,11
1,0,0,0,0,0,17,0,1,1,1,1,2,3,3,1,3,1,1,0,1,1,0,1,1,1,5,2,1,1,0,7
1,0,0,0,0,0,19,1,1,1,3,3,2,2,3,2,1,4,0,0,1,1,1,1,1,0,4,3,3,3,10,8
0,1,0,0,0,1,15,1,1,1,4,3,4,2,1,1,1,2,0,0,1,1,1,1,1,0,4,3,3,5,6,9
0,0,0,0,1,1,15,1,1,0,3,4,3,2,0,1,1,2,0,0,1,1,1,1,1,0,5,4,4,1,0,16
0,0,0,0,1,0,18,0,0,1,4,4,2,2,3,1,2,3,0,0,0,0,0,1,1,0,5,4,4,1,0,19
0,0,0,1,0,0,16,1,1,1,4,4,3,3,3,1,1,3,0,0,1,1,1,1,1,0,3,2,3,2,6,13
0,0,1,0,0,1,15,1,1,0,4,4,2,3,3,1,1,4,0,0,1,0,1,1,1,1,1,3,3,3,4,13
0,0,1,0,0,1,17,1,0,1,4,4,3,2,1,1,1,2,0,0,1,1,0,1,1,1,5,3,5,3,13,12
1,0,0,0,0,0,17,1,1,0,4,4,2,4,1,1,2,2,0,1,1,0,0,1,0,0,4,1,4,1,6,6
0,1,0,0,0,1,16,1,0,1,4,3,1,2,1,0,1,1,0,0,0,1,1,1,1,0,3,1,3,5,4,8
0,1,0,0,0,1,17,1,0,1,4,4,2,4,1,0,2,1,0,0,0,1,0,1,1,0,4,1,1,5,0,11
1,0,0,0,0,1,19,0,1,1,1,1,2,3,1,2,3,2,3,0,0,0,0,1,1,0,5,4,4,2,8,8
0,1,0,0,0,1,18,0,1,1,1,3,0,2,0,1,2,2,0,0,1,1,0,1,0,0,3,3,4,3,4,10
1,0,0,0,0,1,17,0,1,1,1,3,2,2,0,0,3,2,1,0,1,0,1,1,1,0,5,2,4,5,20,9
1,0,0,0,0,0,17,1,1,1,2,2,2,2,0,1,1,2,0,0,1,0,0,1,0,1,4,2,2,3,12,11
1,0,0,0,0,0,19,1,1,1,4,4,1,2,3,2,2,2,0,0,1,1,1,1,1,0,2,3,4,2,0,10
1,0,0,0,0,1,18,0,1,1,2,1,2,2,2,1,2,1,0,0,0,0,1,1,1,1,4,4,3,5,5,7
1,0,0,0,0,0,17,0,1,1,1,2,2,2,0,1,1,1,0,0,0,0,1,1,1,0,3,5,5,1,14,6
